AriaId,FileName,AriaOpera,AriaLabel,AriaName,Act,Scene,ActAndScene,Year,Decade,Composer,City,Territory,Character,Gender,Form,Key,KeySignature,KeySignatureType,Instrumentation,Scoring,Voices
0243,Did02M-Diro_che-1763-Traetta[1.03][0243].xml,Did,Did02M,Diro_che,1,3,103,1763,1760s,Tommaso Traetta,Venice,Italy,Selene,Female,Da capo,C,n,n,"vn,va,bs","sop,vnI,vnII,va,bs",sop
0257,Did01M-Dovrei_ma-1762-Sarti[1.02][0257].xml,Did,Did01M,Dovrei_ma,1,2,102,1762,1760s,Giuseppe Sarti,Copenhagen,Empire,Enea,Male,recit,E,ssss,s,"vn,va,bs","sop,vnI,vnII,va,bs",sop
0280,Did01M-Dovrei_ma-1768-Boroni[1.02][0280].xml,Did,Did01M,Dovrei_ma,1,2,102,1768,1760s,Antonio Boroni,Prague,Empire,Enea,Male,AA ,Bb,bb,b,"vn,va,bs","sop,vnI,vnII,va,bs",sop
0285,Did01M-Dovrei_ma-1769-Majo[1.03][0285].xml,Did,Did01M,Dovrei_ma,1,3,103,1769,1760s,Gian Francesco De Majo,Venice,Italy,Enea,Male,AA ,Eb,bbb,b,"ob,hn,vn,va,bs","obI,obII,hnI,hnII,sop,vnI,vnII,vaI,vaII,bs",sop
0291,Did02M-Diro_che-1769-Majo[1.04][0291].xml,Did,Did02M,Diro_che,1,4,104,1769,1760s,Gian Francesco De Majo,Venice,Italy,Selene,Female,Dal segno,A,sss,s,"vn,va,bs","sop,vnI,vnII,va,bs",sop
0292,Did01M-Dovrei_ma-1810-Paer[1.02][0292].xml,Did,Did01M,Dovrei_ma,1,2,102,1810,1810s,Ferdinando Paër,Paris,France,Enea,Male,AA ,Bb,bb,b,"fl,ob,cl,bn,hn,vn,va,bs","flI,flII,obI,obII,clI,clII,bnI,bnII,hnI,hnII,ten,vnI,vnII,vaI,vaII,bs",ten
0307,Did02M-Diro_che-1768-Boroni[1.03][0307].xml,Did,Did02M,Diro_che,1,3,103,1768,1760s,Antonio Boroni,Prague,Empire,Selene,Female,Dal segno,A,sss,s,"cl,vn,va,bs","clI,clII,sop,vnI,vnII,va,bs",sop
0311,Did01M-Dovrei_ma-1794-Paisiello[1.02][0311].xml,Did,Did01M,Dovrei_ma,1,2,102,1794,1790s,Giovanni Paisiello,Naples,Italy,Enea,Male,recit,A,sss,s,"vn,va,bs","sop,vnI,vnII,vaI,vaII,bs",sop
0314,Did02M-Diro_che-1794-Paisiello[1.03][0314].xml,Did,Did02M,Diro_che,1,3,103,1794,1790s,Giovanni Paisiello,Naples,Italy,Selene,Female,AA,D,ss,s,"fl,hn,vn,va,bs","flI,flII,hnI,hnII,sop,vnI,vnII,va,bs",sop
0319,Did03M-Son_regina-1744-Scalabrini[1.01][0319].xml,Did,Did03M,Son_regina,1,1,101,1744,1740s,Paolo Scalabrini,Hamburg,Empire,Didone,Female,Da capo,C,n,n,"vn,va,bs","sop,vnI,vnII,va,bs",sop
0328,Did02M-Diro_che-1763-Jommelli[1.03][0328].xml,Did,Did02M,Diro_che,1,3,103,1763,1760s,Niccolò Jommelli,Stuttgart,Empire,Selene,Female,Dal segno,G,s,s,"vn,va,bs","sop,vnI,vnII,va,bs",sop
0337,Did02M-Diro_che-1776-Schuster[1.03][0337].xml,Did,Did02M,Diro_che,1,3,103,1776,1770s,Joseph Schuster,Naples,Italy,Selene,Female,ABA,D,ss,s,"vn,va,bs","sop,vnI,vnII,vaI,vaII,bs",sop
0351,Did03M-Son_regina-1726-Vinci[1.05][0351].xml,Did,Did03M,Son_regina,1,5,105,1726,1720s,Leonardo Vinci,Rome,Italy,Didone,Female,Da capo,C,n,n,"vn,va,bs","sop,vnI,vnII,va,bs",sop
0376,Did02M-Diro_che-1780-Astarita[1.03][0376].xml,Did,Did02M,Diro_che,1,3,103,1780,1780s,Gennaro Astarita,Bratislava,Empire,Selene,Female,ABA,G,s,s,"ob,hn,vn,va,bs","obI,obII,hnI,hnII,sop,vnI,vnII,va,bs",sop
0377,Did01M-Dovrei_ma-1780-Astarita[1.02][0377].xml,Did,Did01M,Dovrei_ma,1,2,102,1780,1780s,Gennaro Astarita,Bratislava,Empire,Enea,Male,ABB,A,sss,s,"vn,va,bs","sop,vnI,vnII,va,bs",sop
0384,Did02M-Diro_che-1726-Vinci[1.03][0384].xml,Did,Did02M,Diro_che,1,3,103,1726,1720s,Leonardo Vinci,Rome,Italy,Selene,Male,Da capo,G,s,s,"vn,va,bs","sop,vnI,vnII,va,bs",sop
0388,Did04M-Grato_rende-1726-Vinci[1.06][0388].xml,Did,Did04M,Grato_rende,1,6,106,1726,1720s,Leonardo Vinci,Rome,Italy,Osmida,Male,Da capo,F,b,b,"vn,va,bs","sop,vnI,vnII,va,bs",sop
0417,Dem02M-In_te-1733-Caldara[1.02][0417].xml,Dem,Dem02M,In_te,1,2,102,1733,1730s,Antonio Caldara,Vienna,Empire,Dircea,Female,Da capo,Bb,bb,b,"vn,va,bs","sop,vnI,vnII,va,bs",sop
0420,Dem01M-O_piu-1733-Caldara[1.01][0420].xml,Dem,Dem01M,O_piu,1,1,101,1733,1730s,Antonio Caldara,Vienna,Empire,Matusio,Male,Da capo,g,bb,b,"vn,va,bs","ten,vnI,vnII,va,bs",ten
0430,Dem01M-O_piu-1735-Leo[1.01][0430].xml,Dem,Dem01M,O_piu,1,1,101,1735,1730s,Leonardo Leo,Naples,Italy,Matusio,Male,Da capo,G,s,s,"ob,hn,vn,va,bs","obI,obII,hnI,hnII,ten,vnI,vnII,va,bs",ten
0431,Dem02M-In_te-1735-Sarro[1.02][0431].xml,Dem,Dem02M,In_te,1,2,102,1735,1730s,Domenico Natale Sarro,Naples,Italy,Dircea,Female,Dal segno,G,s,s,"vn,va,bs","sop,vnI,vnII,va,bs",sop
0443,Dem01M-O_piu-1775-Myslivecek[1.01][0443].xml,Dem,Dem01M,O_piu,1,1,101,1775,1770s,Josef Mysliveček,Naples,Italy,Matusio,Male,ABA,F,b,b,"hn,vn,va,bs","hnI,hnII,sop,vnI,vnII,va,bs",sop
0463,Dem01M-O_piu-1743-Jommelli[1.01][0463].xml,Dem,Dem01M,O_piu,1,1,101,1743,1740s,Niccolò Jommelli,Padua,Italy,Matusio,Male,Da capo,D,ss,s,"ob,hn,vn,va,bs","obI,obII,hnI,hnII,sop,vnI,vnII,va,bs",sop
0464,Dem02M-In_te-1743-Jommelli[1.02][0464].xml,Dem,Dem02M,In_te,1,2,102,1743,1740s,Niccolò Jommelli,Padua,Italy,Dircea,Female,Da capo,A,sss,s,"vn,va,bs","sop,vnI,vnII,va,bs",sop
0478,Dem01M-O_piu-1735-Schiassi[1.01][0478].xml,Dem,Dem01M,O_piu,1,1,101,1735,1730s,Gaetano Maria Schiassi,Venice,Italy,Matusio,Male,Dal segno,Bb,bb,b,"vn,va,bs","ten,vnI,vnII,va,bs",ten
0479,Dem02M-In_te-1735-Schiassi[1.02][0479].xml,Dem,Dem02M,In_te,1,2,102,1735,1730s,Gaetano Maria Schiassi,Venice,Italy,Dircea,Female,Dal segno,G,s,s,"vn,va,bs","sop,vnI,vnII,va,bs",sop
0485,Did02M-Diro_che-1752-Galuppi[1.03][0485].xml,Did,Did02M,Diro_che,1,3,103,1752,1750s,Baldassare Galuppi,NA,NA,Selene,Female,Dal segno,A,sss,s,"vn,va,bs","sop,vnI,vnII,vaI,vaII,bs",sop
0517,Dem01M-O_piu-1766-Bernasconi[1.01][0517].xml,Dem,Dem01M,O_piu,1,1,101,1766,1760s,Andrea Bernasconi,Munich,Empire,Matusio,Male,Dal segno,G,s,s,"ob,hn,vn,va,bs","obI,obII,hnI,hnII,ten,vnI,vnII,va,bs",ten
0540,Dem01M-O_piu-1748-Hasse[1.01][0540].xml,Dem,Dem01M,O_piu,1,1,101,1748,1740s,Johann Adolph Hasse,Dresden,Empire,Matusio,Male,Dal segno,Bb,bb,b,"fl,ob,vn,va,bs","flI,flII,obI,obII,sop,vnI,vnII,va,bs",sop
0541,Dem02M-In_te-1748-Hasse[1.02][0541].xml,Dem,Dem02M,In_te,1,2,102,1748,1740s,Johann Adolph Hasse,Dresden,Empire,Dircea,Female,Dal segno,Eb,bbb,b,"fl,ob,vn,va,bs","flI,flII,obI,obII,sop,vnI,vnII,va,bs",sop
0561,Dem01M-O_piu-1758-Hasse[1.01][0561].xml,Dem,Dem01M,O_piu,1,1,101,1758,1750s,Johann Adolph Hasse,Naples,Italy,Matusio,Male,Dal segno,F,b,b,"ob,hn,vn,va,bs","obI,obII,hnI,hnII,ten,vnI,vnII,va,bs",ten
0583,Dem01M-O_piu-1743-Gluck[1.01][0583].xml,Dem,Dem01M,O_piu,1,1,101,1743,1740s,Christoph Willibald Gluck,Milan,Italy,Matusio,Male,Dal segno,F,b,b,"hn,vn,va,bs","hnI,hnII,ten,vnI,vnII,va,bs",ten
0584,Dem02M-In_te-1743-Gluck[1.02][0584].xml,Dem,Dem02M,In_te,1,2,102,1743,1740s,Christoph Willibald Gluck,Milan,Italy,Dircea,Female,Dal segno,D,ss,s,"vn,va,bs","sop,vnI,vnII,va,bs",sop
0613,Dem01M-O_piu-1761-Piccinni[1.01][0613].xml,Dem,Dem01M,O_piu,1,1,101,1761,1760s,Niccolò Piccinni,Reggio Emilia,Italy,Matusio,Male,Dal segno,G,s,s,"ob,hn,vn,va,bs","obI,obII,hnI,hnII,ten,vnI,vnII,va,bs",ten
0667,Did02M-Diro_che-1764-Galuppi[1.03][0667].xml,Did,Did02M,Diro_che,1,3,103,1764,1760s,Baldassare Galuppi,Venice,Italy,Selene,Female,Dal segno,F,b,b,"vn,va,bs","sop,vnI,vnII,va,bs",sop
0775,Dem01M-O_piu-1752-Perez[1.01][0775].xml,Dem,Dem01M,O_piu,1,1,101,1752,1750s,Davide Perez,Lisbon,Portugal,Matusio,Male,Dal segno,Eb,bbb,b,"ob,hn,vn,va,bs","obI,obII,hnI,hnII,ten,vnI,vnII,va,bs",ten
0776,Dem02M-In_te-1752-Perez[1.02][0776].xml,Dem,Dem02M,In_te,1,2,102,1752,1750s,Davide Perez,Lisbon,Portugal,Dircea,Female,Dal segno,F,b,b,"vn,va,bs","sop,vnI,vnII,va,bs",sop
0809,Did03M-Son_regina-1764-Galuppi[1.05][0809].xml,Did,Did03M,Son_regina,1,5,105,1764,1760s,Baldassare Galuppi,Venice,Italy,Didone,Female,ABABA,G,s,s,"ob,hn,vn,va,bs","obI,obII,hnI,hnII,sop,vnI,vnII,va,bs",sop
0816,Ale73M-Dem04M-Sperai_vicino-1772-Anfossi[1.11][0816].xml,Ale,Ale73M-Dem04M,Sperai_vicino,1,11,111,1772,1770s,Pasquale Anfossi,Rome,Italy,Gandarte,Male,Dal segno,D,ss,s,"ob,hn,vn,va,bs","obI,obII,hnI,hnII,sop,vnI,vnII,vaI,vaII,bs",sop
0823,Ale75X-Adr25M-Ah_che_mancar-1772-Anfossi[2.13][0823].xml,Ale,Ale75X-Adr25M,Ah_che_mancar,2,13,213,1772,1770s,Pasquale Anfossi,Rome,Italy,Gandarte,Male,Dal segno,Bb,bb,b,"ob,hn,vn,va,bs","obI,obII,hnI,hnII,sop,vnI,vnII,va,bs",sop
0850,Ale67M-Oli21M-Non_so_donde-1762-Bach[3.07][0850].xml,Ale,Ale67M-Oli21M,Non_so_donde,3,7,307,1762,1760s,Johann Christian Bach,Naples,Italy,Alessandro,Male,Dal segno,C,n,n,"fl,ob,hn,vn,va,bs","flI,flII,obI,obII,hnI,hnII,ten,vnI,vnII,va,bs",ten
0920,Dem01M-O_piu-1764-Jommelli[1.02][0920].xml,Dem,Dem01M,O_piu,1,2,102,1764,1760s,Niccolò Jommelli,Stuttgart,Empire,Matusio,Male,Dal segno,F,b,b,"ob,hn,vn,va,bs","obI,obII,hnI,hnII,sop,vnI,vnII,va,bs",sop
0938,Dem01M-O_piu-1770-Jommelli[1.01][0938].xml,Dem,Dem01M,O_piu,1,1,101,1770,1770s,Niccolò Jommelli,Naples,Italy,Matusio,Male,ABA,F,b,b,"ob,hn,vn,va,bs","obI,obII,hnI,hnII,alt,vnI,vnII,va,bs",alt
100,Dem22M-Misero_pargoletto-1746-Graun[3.05][0100].xml,Dem,Dem22M,Misero_pargoletto,3,05,305,1746,1740s,Carl Heinrich Graun,Berlin,Empire,Timante,Male,Dal segno,b,ss,s,"vn,va,bs","sop,vnI,vnII,va,bs",sop
1000,Ale02M-Vedrai_con-1754-Agricola[1.02][1000].xml,Ale,Ale02M,Vedrai_con,1,2,102,1754,1750s,Johann Friedrich Agricola,Berlin,Empire,Poro,Male,Dal segno,G,s,s,"ob,hn,vn,va,bs","obI,obII,hnI,hnII,sop,vnI,vnII,va,bs",sop
1001,Ale03M-Vil_trofeo-1754-Agricola[1.03][1001].xml,Ale,Ale03M,Vil_trofeo,1,3,103,1754,1750s,Johann Friedrich Agricola,Berlin,Empire,Alessandro,Male,Dal segno,D,ss,s,"vn,va,bs","ten,vnI,vnII,va,bs",ten
1002,Ale06M-Se_mai-1754-Agricola[1.04][1002].xml,Ale,Ale06M,Se_mai,1,4,104,1754,1750s,Johann Friedrich Agricola,Berlin,Empire,Poro,Male,A,Eb,bbb,b,"fl,ob,hn,vn,va,bs","flI,flII,obI,obII,hnI,hnII,sop,vnI,vnII,va,bs",sop
1003,Ale07M-Se_mai-1754-Agricola[1.05][1003].xml,Ale,Ale07M,Se_mai,1,5,105,1754,1750s,Johann Friedrich Agricola,Berlin,Empire,Cleofide,Female,Da capo,Bb,bb,b,"ob,vn,va,bs","obI,obII,sop,vnI,vnII,va,bs",sop
1005,Ale11M-Se_amore-1754-Agricola[1.09][1005].xml,Ale,Ale11M,Se_amore,1,09,109,1754,1750s,Johann Friedrich Agricola,Berlin,Empire,Alessandro,Male,Dal segno,A,sss,s,"vn,va,bs","ten,vnI,vnII,va,bs",ten
1006,Ale06M-Ale07M-Se_mai-1754-Agricola[1.10][1006].xml,Ale,Ale06M-Ale07M,Se_mai,1,10,110,1754,1750s,Johann Friedrich Agricola,Berlin,Empire,Cleofide,Female,AB,Eb,bbb,b,"ob,vn,va,bs","obI,obII,sop,sop,vnI,vnII,vaI,vaII,bs",sop
1008,Ale12M-Non_sarei-1754-Agricola[2.03][1008].xml,Ale,Ale12M,Non_sarei,2,03,203,1754,1750s,Johann Friedrich Agricola,Berlin,Empire,Erissena,Female,Dal segno,e,s,s,"vn,va,bs","sop,vnI,vnII,va,bs",sop
101,Did13M-Se_resto-1742-Hasse[1.19][0101].xml,Did,Did13M,Se_resto,1,19,119,1742,1740s,Johann Adolph Hasse,Wermsdorf,Empire,Enea,Male,Dal segno,D,ss,s,"fl,ob,bn,vn,va,bs","flI,flII,obI,obII,bn,sop,vnI,vnII,va,bs",sop
1011,Ale16M-Digli_che-1754-Agricola[2.09][1011].xml,Ale,Ale16M,Digli_che,2,9,209,1754,1750s,Johann Friedrich Agricola,Berlin,Empire,Cleofide,Female,Dal segno,A,sss,s,"vn,va,bs","sop,vnI,vnII,va,bs",sop
1012,Ale17M-Destrier_che-1754-Agricola[2.10][1012].xml,Ale,Ale17M,Destrier_che,2,10,210,1754,1750s,Johann Friedrich Agricola,Berlin,Empire,Poro,Male,Dal segno,D,ss,s,"ob,hn,vn,va,bs","obI,obII,hnI,hnII,sop,vnI,vnII,vaI,vaII,bs",sop
1013,Ale18M-E_ver-1754-Agricola[2.11][1013].xml,Ale,Ale18M,E_ver,2,11,211,1754,1750s,Johann Friedrich Agricola,Berlin,Empire,Timagene,Male,Dal segno,C,n,n,"fl,vn,va,bs","flI,flII,sop,vnI,vnII,va,bs",sop
1015,Ale24M-Se_troppo-1754-Agricola[3.03][1015].xml,Ale,Ale24M,Se_troppo,3,3,303,1754,1750s,Johann Friedrich Agricola,Berlin,Empire,Cleofide,Female,Dal segno,Bb,bb,b,"vn,va,bs","sop,vnI,vnII,va,bs",sop
1016,Ale26M-Serbati_a-1754-Agricola[3.05][1016].xml,Ale,Ale26M,Serbati_a,3,5,305,1754,1750s,Johann Friedrich Agricola,Berlin,Empire,Alessandro,Male,Dal segno,F,b,b,"hn,vn,va,bs","hnI,hnII,ten,vnI,vnII,va,bs",ten
1017,Ale28M-Dove_si-1754-Agricola[3.08][1017].xml,Ale,Ale28M,Dove_si,3,8,308,1754,1750s,Johann Friedrich Agricola,Berlin,Empire,Poro,Male,Dal segno,c,bbb,b,"vn,va,bs","sop,vnI,vnII,va,bs",sop
1018,Ale02M-Vedrai_con-1791-Tarchi[1.02][1018].xml,Ale,Ale02M,Vedrai_con,1,2,102,1791,1790s,Angelo Tarchi,Livorno,Italy,Poro,Male,AB,Bb,bb,b,"ob,bn,hn,tpt,vn,va,bs","obI,obII,bnI,bnII,hnI,hnII,tptI,tptII,sop,vnI,vnII,vaI,vaII,bs",sop
1019,Ale03M-Vil_trofeo-1791-Tarchi[1.03][1019].xml,Ale,Ale03M,Vil_trofeo,1,3,103,1791,1790s,Angelo Tarchi,Livorno,Italy,Alessandro,Male,ABA,A,sss,s,"ob,bn,hn,vn,va,bs","obI,obII,bnI,bnII,hnI,hnI,hnII,hnII,ten,vnI,vnII,vaI,vaII,bs",ten
102,Dem22M-Misero_pargoletto-1776-Monza[3.05][0102].xml,Dem,Dem22M,Misero_pargoletto,3,05,305,1776,1770s,Carlo Monza,Alessandria,Italy,Timante,Male,AA ,Eb,bbb,b,"ob,hn,vn,va,bs","obI,obII,hnI,hnII,sop,vnI,vnII,va,bs",sop
1020,Ale04M-Chi_vive-1791-Tarchi[1.04][1020].xml,Ale,Ale04M,Chi_vive,1,4,104,1791,1790s,Angelo Tarchi,Livorno,Italy,Erissena,Female,AA,F,b,b,"ob,hn,vn,va,bs","obI,obII,hnI,hnII,sop,vnI,vnII,vaI,vaII,bs",sop
1021,Ale06M-Se_mai-1791-Tarchi[1.05][1021].xml,Ale,Ale06M,Se_mai,1,5,105,1791,1790s,Angelo Tarchi,Livorno,Italy,Poro,Male,A,G,s,s,"fl,ob,bn,hn,vn,va,bs","flI,flII,obI,obII,bnI,bnII,hnI,hnII,sop,vnI,vnII,vaI,vaII,bs",sop
1022,Ale07M-Se_mai-1791-Tarchi[1.06][1022].xml,Ale,Ale07M,Se_mai,1,6,106,1791,1790s,Angelo Tarchi,Livorno,Italy,Cleofide,Female,ABA,A,sss,s,"fl,ob,bn,hn,vn,va,bs","flI,flII,obI,obII,bnI,bnII,hnI,hnII,sop,vnI,vnII,vaI,vaII,bs",sop
1025,Ale11M-Se_amore-1791-Tarchi[1.12][1025].xml,Ale,Ale11M,Se_amore,1,12,112,1791,1790s,Angelo Tarchi,Livorno,Italy,Alessandro,Male,ABA,Bb,bb,b,"ob,bn,hn,vn,va,bs","obI,obII,bnI,bnII,hnI,hnII,ten,vnI,vnII,vaI,vaII,bs",ten
1026,Ale06M-Ale07M-Se_mai-1791-Tarchi[1.13][1026].xml,Ale,Ale06M-Ale07M,Se_mai,1,13,113,1791,1790s,Angelo Tarchi,Livorno,Italy,Cleofide,Female,AB,G,s,s,"fl,ob,bn,hn,vn,va,bs","flI,flII,obI,obII,bnI,bnII,hnI,hnII,sop,sop,vnI,vnII,vaI,vaII,bs",sop
1029,Ale27M-Finche_rimango-1791-Tarchi[2.06][1029].xml,Ale,Ale27M,Finche_rimango,2,6,206,1791,1790s,Angelo Tarchi,Livorno,Italy,Timagene,Male,AB,C,n,n,"ob,bn,hn,vn,va,bs","obI,obII,bnI,bnII,hnI,hnII,ten,vnI,vnII,vaI,vaII,bs",ten
103,Did13M-Se_resto-1747-Jommelli[1.18][0103].xml,Did,Did13M,Se_resto,1,18,118,1747,1740s,Niccolò Jommelli,Rome,Italy,Enea,Male,Da capo,G,s,s,"ob,hn,vn,va,bs","obI,obII,hnI,hnII,sop,vnI,vnII,va,bs",sop
1031,Ale20M-Se_il-1791-Tarchi[2.10][1031].xml,Ale,Ale20M,Se_il,2,10,210,1791,1790s,Angelo Tarchi,Livorno,Italy,Cleofide,Female,ABA,f,bbbb,b,"fl,bn,hn,tpt,vn,va,bs","flI,flII,bnI,bnII,hnI,hnII,tptI,tptII,sop,vnI,vnII,vaI,vaII,bs",sop
1034,Ale01M-E_prezzo-1740-Caballone[1.01][1034].xml,Ale,Ale01M,E_prezzo,1,1,101,1740,1740s,Michele Caballone,Naples,Italy,Gandarte,Male,Da capo,D,ss,s,"ob,hn,vn,va,bs","obI,obII,hnI,hnII,sop,vnI,vnII,va,bs",sop
1035,Ale02M-Vedrai_con-1740-Caballone[1.02][1035].xml,Ale,Ale02M,Vedrai_con,1,2,102,1740,1740s,Michele Caballone,Naples,Italy,Poro,Male,Dal segno,D,ss,s,"ob,hn,vn,va,bs","obI,obII,hnI,hnII,sop,vnI,vnII,va,bs",sop
1036,Ale03M-Vil_trofeo-1746-Caballone[1.03][1036].xml,Ale,Ale03M,Vil_trofeo,1,3,103,1746,1740s,Michele Caballone,Naples,Italy,Alessandro,Male,Dal segno,C,n,n,"ob,hn,vn,va,bs","obI,obII,hnI,hnII,sop,vnI,vnII,va,bs",sop
1037,Ale04M-Chi_vive-1746-Caballone[1.04][1037].xml,Ale,Ale04M,Chi_vive,1,4,104,1746,1740s,Michele Caballone,Naples,Italy,Erissena,Female,Da capo,C,n,n,"ob,hn,vn,va,bs","obI,obII,hnI,hnII,sop,vnI,vnII,va,bs",sop
1038,Ale20M-Se_il-1740-Caballone[2.14][1038].xml,Ale,Ale20M,Se_il,2,14,214,1740,1740s,Michele Caballone,Naples,Italy,Cleofide,Female,Dal segno,c,bbb,b,"vn,va,bs","sop,vnI,vnII,va,bs",sop
1039,Ale06M-Se_mai-1740-Caballone[1.06][1039].xml,Ale,Ale06M,Se_mai,1,6,106,1740,1740s,Michele Caballone,Naples,Italy,Poro,Male,A,Bb,bb,b,"vn,va,bs","sop,vnI,vnII,va,bs",sop
104,Did13M-Se_resto-1776-Schuster[2.15][0104].xml,Did,Did13M,Se_resto,2,15,215,1776,1770s,Joseph Schuster,Naples,Italy,Enea,Male,ABAB,Bb,bb,b,"ob,hn,tpt,vn,va,bs","obI,obII,hnI,hnII,tptI,tptII,sop,vnI,vnII,vaI,vaII,bs",sop
1040,Ale07M-Se_mai-1746-Caballone[1.07][1040].xml,Ale,Ale07M,Se_mai,1,7,107,1746,1740s,Michele Caballone,Naples,Italy,Cleofide,Female,Da capo,Bb,bb,b,"vn,va,bs","sop,vnI,vnII,va,bs",sop
1041,Ale08M-Se_possono-1740-Caballone[1.09][1041].xml,Ale,Ale08M,Se_possono,1,9,109,1740,1740s,Michele Caballone,Naples,Italy,Poro,Male,Dal segno,E,ssss,s,"vn,va,bs","sop,vnI,vnII,va,bs",sop
1042,Ale21M-Se_viver-1740-Caballone[2.15][1042].xml,Ale,Ale21M,Se_viver,2,15,215,1740,1740s,Michele Caballone,Naples,Italy,Gandarte,Male,Dal segno,A,sss,s,"vn,va,bs","sop,vnI,vnII,va,bs",sop
