AriaId,AriaId,FileName,AriaOpera,AriaLabel,AriaName,Act,Scene,ActAndScene,Year,Decade,Composer,City,Territory,Character,Gender,Form,Key,KeySignature,KeySignatureType,Instrumentation,Scoring,Voices
0667,0667,Did02M-Diro_che-1764-Galuppi[1.03][0667].xml,Did,Did02M,Diro_che,1,3,103,1764,1760s,Baldassare Galuppi,Venice,Italy,Selene,Female,Dal segno,F,b,b,"vn,va,bs","sop,vnI,vnII,va,bs",sop
0775,0775,Dem01M-O_piu-1752-Perez[1.01][0775].xml,Dem,Dem01M,O_piu,1,1,101,1752,1750s,Davide Perez,Lisbon,Portugal,Oboi i,Male,Dal segno,Eb,bbb,b,"ob,hn,vn,va,bs","obI,obII,hnI,hnII,ten,vnI,vnII,va,bs",ten
0797,0797,Dem25M-Non_dura-1752-Perez[3.08][0797].xml,Dem,Dem25M,Non_dura,3,8,308,1752,1750s,Davide Perez,Lisbon,Portugal,Creusa,Female,Dal segno,E,ssss,s,"vn,va,bs","sop,vnI,vnII,va,bs",sop
0816,0816,Ale73M-Dem04M-Sperai_vicino-1772-Anfossi[1.11][0816].xml,Ale,Ale73M-Dem04M,Sperai_vicino,1,11,111,1772,1770s,Pasquale Anfossi,Rome,Italy,Oboi i,Male,Dal segno,D,ss,s,"ob,hn,vn,va,bs","obI,obII,hnI,hnII,sop,vnI,vnII,vaI,vaII,bs",sop
0823,0823,Ale75X-Adr25M-Ah_che_mancar-1772-Anfossi[2.13][0823].xml,Ale,Ale75X-Adr25M,Ah_che_mancar,2,13,213,1772,1770s,Pasquale Anfossi,Rome,Italy,Corni in sib i,Male,Dal segno,Bb,bb,b,"ob,hn,vn,va,bs","obI,obII,hnI,hnII,sop,vnI,vnII,va,bs",sop
0850,0850,Ale67M-Oli21M-Non_so_donde-1762-Bach[3.07][0850].xml,Ale,Ale67M-Oli21M,Non_so_donde,3,7,307,1762,1760s,Johann Christian Bach,Naples,Italy,Flauti i,Male,Dal segno,C,n,n,"fl,ob,hn,vn,va,bs","flI,flII,obI,obII,hnI,hnII,ten,vnI,vnII,va,bs",ten
0895,0895,Dem25M-Non_dura-1743-Jommelli[3.08][0895].xml,Dem,Dem25M,Non_dura,3,8,308,1743,1740s,Niccolò Jommelli,Padua,Italy,Corni in do i,Female,Da capo,D,ss,s,"hn,vn,va,bs","hnI,hnII,sop,vnI,vnII,va,bs",sop
0937,0937,Dem25M-Non_dura-1764-Jommelli[3.08][0937].xml,Dem,Dem25M,Non_dura,3,8,308,1764,1760s,Niccolò Jommelli,Stuttgart,Empire,Creusa,Female,Da capo,A,sss,s,"vn,va,bs","sop,vnI,vnII,va,bs",sop
0938,0938,Dem01M-O_piu-1770-Jommelli[1.01][0938].xml,Dem,Dem01M,O_piu,1,1,101,1770,1770s,Niccolò Jommelli,Naples,Italy,Oboi i,Male,ABA,C,n,n,"ob,hn,vn,va,bs","obI,obII,hnI,hnII,alt,vnI,vnII,va,bs",alt
0954,0954,Dem24M-Che_mai-1770-Jommelli[3.07][0954].xml,Dem,Dem24M,Che_mai,3,7,307,1770,1770s,Niccolò Jommelli,Naples,Italy,Oboi i,Female,Dal segno,G,s,s,"ob,hn,vn,va,bs","obI,obII,hnI,hnII,sop,vnI,vnII,va,bs",sop
10,10,Did03M-Son_regina-1760-Bernasconi[1.05][0010].xml,Did,Did03M,Son_regina,1,5,105,1760,1760s,Andrea Bernasconi,Venice,Italy,Oboi i,Female,Dal segno,F,b,b,"ob,hn,vn,va,bs","obI,obII,hnI,hnII,sop,vnI,vnII,va,bs",sop
100,100,Dem22M-Misero_pargoletto-1746-Graun[3.05][0100].xml,Dem,Dem22M,Misero_pargoletto,3,05,305,1746,1740s,Carl Heinrich Graun,Berlin,Empire,Timante,Male,Dal segno,b,ss,s,"vn,va,bs","sop,vnI,vnII,va,bs",sop
1000,1000,Ale02M-Vedrai_con-1754-Agricola[1.02][1000].xml,Ale,Ale02M,Vedrai_con,1,2,102,1754,1750s,Johann Friedrich Agricola,Berlin,Empire,Oboi i,Male,Dal segno,G,s,s,"ob,hn,vn,va,bs","obI,obII,hnI,hnII,sop,vnI,vnII,va,bs",sop
1001,1001,Ale03M-Vil_trofeo-1754-Agricola[1.03][1001].xml,Ale,Ale03M,Vil_trofeo,1,3,103,1754,1750s,Johann Friedrich Agricola,Berlin,Empire,Alessandro,Male,Dal segno,D,ss,s,"vn,va,bs","ten,vnI,vnII,va,bs",ten
1002,1002,Ale06M-Se_mai-1754-Agricola[1.04][1002].xml,Ale,Ale06M,Se_mai,1,4,104,1754,1750s,Johann Friedrich Agricola,Berlin,Empire,Flauti i,Male,A,Eb,bbb,b,"fl,ob,hn,vn,va,bs","flI,flII,obI,obII,hnI,hnII,sop,vnI,vnII,va,bs",sop
1003,1003,Ale07M-Se_mai-1754-Agricola[1.05][1003].xml,Ale,Ale07M,Se_mai,1,5,105,1754,1750s,Johann Friedrich Agricola,Berlin,Empire,Oboi i,Female,Da capo,Bb,bb,b,"ob,vn,va,bs","obI,obII,sop,vnI,vnII,va,bs",sop
1005,1005,Ale11M-Se_amore-1754-Agricola[1.09][1005].xml,Ale,Ale11M,Se_amore,1,9,109,1754,1750s,Johann Friedrich Agricola,Berlin,Empire,Alessandro,Male,Dal segno,A,sss,s,"vn,va,bs","ten,vnI,vnII,va,bs",ten
1006,1006,Ale06M-Ale07M-Se_mai-1754-Agricola[1.10][1006].xml,Ale,Ale06M-Ale07M,Se_mai,1,10,110,1754,1750s,Johann Friedrich Agricola,Berlin,Empire,Oboi i,Female,AB,Eb,bbb,b,"ob,vn,va,bs","obI,obII,sop,sop,vnI,vnII,vaI,vaII,bs",sop
1008,1008,Ale12M-Non_sarei-1754-Agricola[2.03][1008].xml,Ale,Ale12M,Non_sarei,2,3,203,1754,1750s,Johann Friedrich Agricola,Berlin,Empire,Erissena,Female,Dal segno,e,s,s,"vn,va,bs","sop,vnI,vnII,va,bs",sop
101,101,Did13M-Se_resto-1742-Hasse[1.19][0101].xml,Did,Did13M,Se_resto,1,19,119,1742,1740s,Johann Adolph Hasse,Wermsdorf,Empire,Flauti i,Male,Dal segno,D,ss,s,"fl,ob,bn,vn,va,bs","flI,flII,obI,obII,bn,sop,vnI,vnII,va,bs",sop
1011,1011,Ale16M-Digli_che-1754-Agricola[2.09][1011].xml,Ale,Ale16M,Digli_che,2,09,209,1754,1750s,Johann Friedrich Agricola,Berlin,Empire,Cleofide,Female,Dal segno,A,sss,s,"vn,va,bs","sop,vnI,vnII,va,bs",sop
1013,1013,Ale18M-E_ver-1754-Agricola[2.11][1013].xml,Ale,Ale18M,E_ver,2,11,211,1754,1750s,Johann Friedrich Agricola,Berlin,Empire,Flauti i,Male,Dal segno,C,n,n,"fl,vn,va,bs","flI,flII,sop,vnI,vnII,va,bs",sop
1015,1015,Ale24M-Se_troppo-1754-Agricola[3.03][1015].xml,Ale,Ale24M,Se_troppo,3,3,303,1754,1750s,Johann Friedrich Agricola,Berlin,Empire,Cleofide,Female,Dal segno,Bb,bb,b,"vn,va,bs","sop,vnI,vnII,va,bs",sop
1016,1016,Ale26M-Serbati_a-1754-Agricola[3.05][1016].xml,Ale,Ale26M,Serbati_a,3,5,305,1754,1750s,Johann Friedrich Agricola,Berlin,Empire,Corni in fa i,Male,Dal segno,F,b,b,"hn,vn,va,bs","hnI,hnII,ten,vnI,vnII,va,bs",ten
1017,1017,Ale28M-Dove_si-1754-Agricola[3.08][1017].xml,Ale,Ale28M,Dove_si,3,8,308,1754,1750s,Johann Friedrich Agricola,Berlin,Empire,Poro,Male,Dal segno,c,bbb,b,"vn,va,bs","sop,vnI,vnII,va,bs",sop
1018,1018,Ale02M-Vedrai_con-1791-Tarchi[1.02][1018].xml,Ale,Ale02M,Vedrai_con,1,2,102,1791,1790s,Angelo Tarchi,Livorno,Italy,Oboi i,Male,AB,F,b,b,"ob,bn,hn,tpt,vn,va,bs","obI,obII,bnI,bnII,hnI,hnII,tptI,tptII,sop,vnI,vnII,vaI,vaII,bs",sop
1019,1019,Ale03M-Vil_trofeo-1791-Tarchi[1.03][1019].xml,Ale,Ale03M,Vil_trofeo,1,3,103,1791,1790s,Angelo Tarchi,Livorno,Italy,Oboi i,Male,ABA,A,sss,s,"ob,bn,hn,vn,va,bs","obI,obII,bnI,bnII,hnI,hnI,hnII,hnII,ten,vnI,vnII,vaI,vaII,bs",ten
102,102,Dem22M-Misero_pargoletto-1776-Monza[3.05][0102].xml,Dem,Dem22M,Misero_pargoletto,3,05,305,1776,1770s,Carlo Monza,Alessandria,Italy,Oboi i,Male,AA ,Bb,bb,b,"ob,hn,vn,va,bs","obI,obII,hnI,hnII,sop,vnI,vnII,va,bs",sop
1020,1020,Ale04M-Chi_vive-1791-Tarchi[1.04][1020].xml,Ale,Ale04M,Chi_vive,1,4,104,1791,1790s,Angelo Tarchi,Livorno,Italy,Oboi i,Female,AA,F,b,b,"ob,hn,vn,va,bs","obI,obII,hnI,hnII,sop,vnI,vnII,vaI,vaII,bs",sop
1021,1021,Ale06M-Se_mai-1791-Tarchi[1.05][1021].xml,Ale,Ale06M,Se_mai,1,5,105,1791,1790s,Angelo Tarchi,Livorno,Italy,Flauti i,Male,A,G,s,s,"fl,ob,bn,hn,vn,va,bs","flI,flII,obI,obII,bnI,bnII,hnI,hnII,sop,vnI,vnII,vaI,vaII,bs",sop
1022,1022,Ale07M-Se_mai-1791-Tarchi[1.06][1022].xml,Ale,Ale07M,Se_mai,1,6,106,1791,1790s,Angelo Tarchi,Livorno,Italy,Flauti i,Female,ABA,A,sss,s,"fl,ob,bn,hn,vn,va,bs","flI,flII,obI,obII,bnI,bnII,hnI,hnII,sop,vnI,vnII,vaI,vaII,bs",sop
1025,1025,Ale11M-Se_amore-1791-Tarchi[1.12][1025].xml,Ale,Ale11M,Se_amore,1,12,112,1791,1790s,Angelo Tarchi,Livorno,Italy,Oboi i,Male,ABA,Bb,bb,b,"ob,bn,hn,vn,va,bs","obI,obII,bnI,bnII,hnI,hnII,ten,vnI,vnII,vaI,vaII,bs",ten
1026,1026,Ale06M-Ale07M-Se_mai-1791-Tarchi[1.13][1026].xml,Ale,Ale06M-Ale07M,Se_mai,1,13,113,1791,1790s,Angelo Tarchi,Livorno,Italy,Flauti i,Female,AB,G,s,s,"fl,ob,bn,hn,vn,va,bs","flI,flII,obI,obII,bnI,bnII,hnI,hnII,sop,sop,vnI,vnII,vaI,vaII,bs",sop
1029,1029,Ale27M-Finche_rimango-1791-Tarchi[2.06][1029].xml,Ale,Ale27M,Finche_rimango,2,6,206,1791,1790s,Angelo Tarchi,Livorno,Italy,Oboi i,Male,AB,C,n,n,"ob,bn,hn,vn,va,bs","obI,obII,bnI,bnII,hnI,hnII,ten,vnI,vnII,vaI,vaII,bs",ten
103,103,Did13M-Se_resto-1747-Jommelli[1.18][0103].xml,Did,Did13M,Se_resto,1,18,118,1747,1740s,Niccolò Jommelli,Rome,Italy,Oboi i,Male,Da capo,G,s,s,"ob,hn,vn,va,bs","obI,obII,hnI,hnII,sop,vnI,vnII,va,bs",sop
1031,1031,Ale20M-Se_il-1791-Tarchi[2.10][1031].xml,Ale,Ale20M,Se_il,2,10,210,1791,1790s,Angelo Tarchi,Livorno,Italy,Flauti i,Female,ABA,f,bbbb,b,"fl,bn,hn,tpt,vn,va,bs","flI,flII,bnI,bnII,hnI,hnII,tptI,tptII,sop,vnI,vnII,vaI,vaII,bs",sop
1034,1034,Ale01M-E_prezzo-1740-Caballone[1.01][1034].xml,Ale,Ale01M,E_prezzo,1,1,101,1740,1740s,Michele Caballone,Naples,Italy,Oboi i,Male,Da capo,D,ss,s,"ob,hn,vn,va,bs","obI,obII,hnI,hnII,sop,vnI,vnII,va,bs",sop
1035,1035,Ale02M-Vedrai_con-1740-Caballone[1.02][1035].xml,Ale,Ale02M,Vedrai_con,1,2,102,1740,1740s,Michele Caballone,Naples,Italy,Oboi i,Male,Dal segno,D,ss,s,"ob,hn,vn,va,bs","obI,obII,hnI,hnII,sop,vnI,vnII,va,bs",sop
1036,1036,Ale03M-Vil_trofeo-1746-Caballone[1.03][1036].xml,Ale,Ale03M,Vil_trofeo,1,3,103,1746,1740s,Michele Caballone,Naples,Italy,Oboi i,Male,Dal segno,C,n,n,"ob,hn,vn,va,bs","obI,obII,hnI,hnII,sop,vnI,vnII,va,bs",sop
1037,1037,Ale04M-Chi_vive-1746-Caballone[1.04][1037].xml,Ale,Ale04M,Chi_vive,1,4,104,1746,1740s,Michele Caballone,Naples,Italy,Oboi i,Female,Da capo,C,n,n,"ob,hn,vn,va,bs","obI,obII,hnI,hnII,sop,vnI,vnII,va,bs",sop
1038,1038,Ale20M-Se_il-1740-Caballone[2.14][1038].xml,Ale,Ale20M,Se_il,2,14,214,1740,1740s,Michele Caballone,Naples,Italy,Cleofide,Female,Dal segno,c,bbb,b,"vn,va,bs","sop,vnI,vnII,va,bs",sop
1039,1039,Ale06M-Se_mai-1740-Caballone[1.06][1039].xml,Ale,Ale06M,Se_mai,1,6,106,1740,1740s,Michele Caballone,Naples,Italy,Poro,Male,A,Bb,bb,b,"vn,va,bs","sop,vnI,vnII,va,bs",sop
104,104,Did13M-Se_resto-1776-Schuster[2.15][0104].xml,Did,Did13M,Se_resto,2,15,215,1776,1770s,Joseph Schuster,Naples,Italy,Oboi i,Male,ABAB,Bb,bb,b,"ob,hn,tpt,vn,va,bs","obI,obII,hnI,hnII,tptI,tptII,sop,vnI,vnII,vaI,vaII,bs",sop
1040,1040,Ale07M-Se_mai-1746-Caballone[1.07][1040].xml,Ale,Ale07M,Se_mai,1,7,107,1746,1740s,Michele Caballone,Naples,Italy,Cleofide,Female,Da capo,Bb,bb,b,"vn,va,bs","sop,vnI,vnII,va,bs",sop
1041,1041,Ale08M-Se_possono-1740-Caballone[1.09][1041].xml,Ale,Ale08M,Se_possono,1,9,109,1740,1740s,Michele Caballone,Naples,Italy,Poro,Male,Dal segno,E,ssss,s,"vn,va,bs","sop,vnI,vnII,va,bs",sop
1042,1042,Ale21M-Se_viver-1740-Caballone[2.15][1042].xml,Ale,Ale21M,Se_viver,2,15,215,1740,1740s,Michele Caballone,Naples,Italy,Gandarte,Male,Dal segno,A,sss,s,"vn,va,bs","sop,vnI,vnII,va,bs",sop
1043,1043,Ale10M-Voi_che-1740-Caballone[1.11][1043].xml,Ale,Ale10M,Voi_che,1,11,111,1740,1740s,Michele Caballone,Naples,Italy,Corni in re i,Male,Dal segno,D,ss,s,"hn,vn,va,bs","hnI,hnII,sop,vnI,vnII,va,bs",sop
1044,1044,Ale11M-Se_amore-1740-Caballone[1.15][1044].xml,Ale,Ale11M,Se_amore,1,15,115,1740,1740s,Michele Caballone,Naples,Italy,Alessandro,Male,Da capo,G,s,s,"vn,va,bs","sop,vnI,vnII,va,bs",sop
1045,1045,Dem01M-O_piu-1753-Jommelli[01.01][1045].xml,Dem,Dem01M,O_piu,1,1,101,1753,1750s,Niccolò Jommelli,Milan,Italy,Oboi i,Male,Dal segno,D,ss,s,"ob,hn,vn,va,bs","obI,obII,hnI,hnII,sop,vnI,vnII,vaI,vaII,bs",sop
1046,1046,Ale12M-Non_sarei-1740-Caballone[2.03][1046].xml,Ale,Ale12M,Non_sarei,2,3,203,1740,1740s,Michele Caballone,Naples,Italy,Erissena,Female,Da capo,c,bbb,b,"vn,va,bs","sop,vnI,vnII,va,bs",sop
1047,1047,Dem02M-In_te-1753-Jommelli[1.02][1047].xml,Dem,Dem02M,In_te,1,2,102,1753,1750s,Niccolò Jommelli,Milan,Italy,Dircea,Female,Da capo,Bb,bb,b,"vn,va,bs","sop,vnI,vnII,vaI,vaII,bs",sop
1048,1048,Ale15M-Dun_barbaro-1740-Caballone[2.08][1048].xml,Ale,Ale15M,Dun_barbaro,2,08,208,1740,1740s,Michele Caballone,Naples,Italy,Oboi i,Male,Da capo,Bb,bb,b,"ob,vn,va,bs","obI,obII,sop,vnI,vnII,va,bs",sop
